puzzle,approach,variables,clauses,encoding_time_s
wedges-054.clues,4,35202,139070,0.15688514709472656
wedges-055.clues,2,15126,365278,0.1938166618347168
wedges-055.clues,4,36626,144954,0.15923380851745605
wedges-056.clues,2,15624,381666,0.1966705322265625
wedges-056.clues,4,37850,149598,0.20830464363098145
wedges-057.clues,2,16246,405350,0.241835355758667
wedges-057.clues,4,39326,155698,0.18167471885681152
wedges-058.clues,2,16762,422904,0.20059514045715332
wedges-058.clues,4,40594,160510,0.22504854202270508
wedges-059.clues,2,17406,448246,0.25261640548706055
wedges-059.clues,4,42122,166826,0.19663548469543457
wedges-060.clues,2,17940,467006,0.21413707733154297
wedges-060.clues,4,43434,171806,0.23315882682800293
wedges-061.clues,2,18606,494062,0.27057576179504395
wedges-061.clues,4,45014,178338,0.20470619201660156
wedges-062.clues,2,19158,514068,0.30217409133911133
wedges-062.clues,4,46370,183486,0.21909260749816895
wedges-063.clues,2,19846,542894,0.2827165126800537
wedges-063.clues,4,48002,190234,0.22169828414916992
wedges-064.clues,2,20416,564186,0.3180420398712158
wedges-064.clues,4,49402,195550,0.226318359375
wedges-065.clues,2,21126,594838,0.33417272567749023
wedges-065.clues,4,51086,202514,0.2349681854248047
wedges-066.clues,2,21714,617456,0.33671045303344727
wedges-066.clues,4,52530,207998,0.2398681640625
wedges-067.clues,2,22446,649990,0.3904862403869629
wedges-067.clues,4,54266,215178,0.2615957260131836
wedges-068.clues,2,23052,673974,0.3495056629180908
wedges-068.clues,4,55754,220830,0.26551175117492676
wedges-069.clues,2,23806,708446,0.4245283603668213
wedges-069.clues,4,57542,228226,0.27411890029907227
wedges-070.clues,2,24430,733836,0.4186539649963379
wedges-070.clues,4,59074,234046,0.28623390197753906
wedges-071.clues,2,25206,770302,0.393963098526001
wedges-071.clues,4,60914,241658,0.29063892364501953
wedges-072.clues,2,25848,797138,0.49127650260925293
wedges-072.clues,4,62490,247646,0.22476935386657715
wedges-073.clues,2,26646,835654,0.4642188549041748
wedges-073.clues,4,64382,255474,0.38272905349731445
wedges-074.clues,2,27306,863976,0.44929075241088867
wedges-074.clues,4,66002,261630,0.32376694679260254
wedges-075.clues,2,28126,904598,0.4368290901184082
wedges-075.clues,4,67946,269674,0.31210827827453613
wedges-076.clues,2,28804,934446,0.5062761306762695
wedges-076.clues,4,69610,275998,0.40679478645324707
wedges-077.clues,2,29646,977230,0.4797391891479492
wedges-077.clues,4,71606,284258,0.3452935218811035
wedges-078.clues,2,30342,1008644,0.5936887264251709
wedges-078.clues,4,73314,290750,0.36778712272644043
wedges-079.clues,2,31206,1053646,0.5012774467468262
wedges-079.clues,4,75362,299226,0.35501575469970703
wedges-080.clues,2,31920,1086666,0.6884942054748535
wedges-080.clues,4,77114,305886,0.3112037181854248
wedges-081.clues,2,32806,1133942,0.7034487724304199
wedges-081.clues,4,79214,314578,0.29514384269714355
wedges-082.clues,2,33538,1168608,0.6824688911437988
wedges-082.clues,4,81010,321406,0.3959474563598633
wedges-083.clues,2,34446,1218214,0.7140071392059326
wedges-083.clues,4,83162,330314,0.4277193546295166
wedges-084.clues,2,35196,1254566,0.6042132377624512
wedges-084.clues,4,85002,337310,0.4213993549346924
wedges-085.clues,2,36126,1306558,0.6705234050750732
wedges-085.clues,4,87206,346434,0.4227893352508545
wedges-086.clues,2,36894,1344636,0.7631783485412598
wedges-086.clues,4,89090,353598,0.4526388645172119
wedges-087.clues,2,37846,1399070,0.7574186325073242
wedges-087.clues,4,91346,362938,0.3379051685333252
wedges-088.clues,2,38632,1438914,0.8605101108551025
