puzzle,approach,variables,clauses,encoding_time_s
stairs-054.clues,4,29482,96598,0.15849804878234863
stairs-055.clues,2,12102,193227,0.10805392265319824
stairs-055.clues,4,30578,100202,0.18628931045532227
stairs-056.clues,2,12546,203460,0.11922645568847656
stairs-056.clues,4,31694,103872,0.19746947288513184
stairs-057.clues,2,12998,214047,0.12851476669311523
stairs-057.clues,4,32830,107608,0.2085402011871338
stairs-058.clues,2,13458,224994,0.13411831855773926
stairs-058.clues,4,33986,111410,0.213975191116333
stairs-059.clues,2,13926,236307,0.1440424919128418
stairs-059.clues,4,35162,115278,0.20280003547668457
stairs-060.clues,2,14402,247992,0.13100385665893555
stairs-060.clues,4,36358,119212,0.14089417457580566
stairs-061.clues,2,14886,260055,0.13324570655822754
stairs-061.clues,4,37574,123212,0.14422249794006348
stairs-062.clues,2,15378,272502,0.13660812377929688
stairs-062.clues,4,38810,127278,0.17780613899230957
stairs-063.clues,2,15878,285339,0.15105748176574707
stairs-063.clues,4,40066,131410,0.15323281288146973
stairs-064.clues,2,16386,298572,0.23090291023254395
stairs-064.clues,4,41342,135608,0.24406909942626953
stairs-065.clues,2,16902,312207,0.22046136856079102
stairs-065.clues,4,42638,139872,0.1996777057647705
stairs-066.clues,2,17426,326250,0.27760815620422363
stairs-066.clues,4,43954,144202,0.18839406967163086
stairs-067.clues,2,17958,340707,0.16721630096435547
stairs-067.clues,4,45290,148598,0.2350921630859375
stairs-068.clues,2,18498,355584,0.19162940979003906
stairs-068.clues,4,46646,153060,0.2595493793487549
stairs-069.clues,2,19046,370887,0.228287935256958
stairs-069.clues,4,48022,157588,0.2054307460784912
stairs-070.clues,2,19602,386622,0.20860862731933594
stairs-070.clues,4,49418,162182,0.24038410186767578
stairs-071.clues,2,20166,402795,0.20581960678100586
stairs-071.clues,4,50834,166842,0.2895336151123047
stairs-072.clues,2,20738,419412,0.2588157653808594
stairs-072.clues,4,52270,171568,0.2644839286804199
stairs-073.clues,2,21318,436479,0.3156156539916992
stairs-073.clues,4,53726,176360,0.24399113655090332
stairs-074.clues,2,21906,454002,0.3298988342285156
stairs-074.clues,4,55202,181218,0.25838303565979004
stairs-075.clues,2,22502,471987,0.4574744701385498
stairs-075.clues,4,56698,186142,0.30160069465637207
stairs-076.clues,2,23106,490440,0.34125685691833496
stairs-076.clues,4,58214,191132,0.37549448013305664
stairs-077.clues,2,23718,509367,0.3715391159057617
stairs-077.clues,4,59750,196188,0.31240367889404297
stairs-078.clues,2,24338,528774,0.4417765140533447
stairs-078.clues,4,61306,201310,0.37830686569213867
stairs-079.clues,2,24966,548667,0.4307515621185303
stairs-079.clues,4,62882,206498,0.35331273078918457
stairs-080.clues,2,25602,569052,0.4769723415374756
stairs-080.clues,4,64478,211752,0.36617398262023926
stairs-081.clues,2,26246,589935,0.4261317253112793
stairs-081.clues,4,66094,217072,0.4225289821624756
stairs-082.clues,2,26898,611322,0.4600696563720703
stairs-082.clues,4,67730,222458,0.42564892768859863
stairs-083.clues,2,27558,633219,0.43096184730529785
stairs-083.clues,4,69386,227910,0.4028332233428955
stairs-084.clues,2,28226,655632,0.46738576889038086
stairs-084.clues,4,71062,233428,0.4329030513763428
stairs-085.clues,2,28902,678567,0.40247416496276855
stairs-085.clues,4,72758,239012,0.4675107002258301
stairs-086.clues,2,29586,702030,0.4734940528869629
stairs-086.clues,4,74474,244662,0.3524622917175293
stairs-087.clues,2,30278,726027,0.6665329933166504
stairs-087.clues,4,76210,250378,0.38358283042907715
stairs-088.clues,2,30978,750564,0.5114336013793945
stairs-088.clues,4,77966,256160,0.32416653633117676
stairs-089.clues,2,31686,775647,0.5504825115203857
stairs-089.clues,4,79742,262008,0.39911937713623047
stairs-090.clues,2,32402,801282,0.4746272563934326
stairs-090.clues,4,81538,267922,0.3471250534057617
stairs-091.clues,2,33126,827475,0.6078133583068848
stairs-091.clues,4,83354,273902,0.5143907070159912
stairs-092.clues,2,33858,854232,0.6915910243988037
stairs-092.clues,4,85190,279948,0.28232693672180176
stairs-093.clues,2,34598,881559,0.760178804397583
stairs-093.clues,4,87046,286060,0.5509486198425293
stairs-094.clues,2,35346,909462,0.5165195465087891
stairs-094.clues,4,88922,292238,0.38619351387023926
stairs-095.clues,2,36102,937947,0.6841731071472168
stairs-095.clues,4,90818,298482,0.39949464797973633
stairs-096.clues,2,36866,967020,0.7162015438079834
stairs-096.clues,4,92734,304792,0.40613532066345215
stairs-097.clues,2,37638,996687,0.5778262615203857
stairs-097.clues,4,94670,311168,0.39850831031799316
stairs-098.clues,2,38418,1026954,0.622683048248291
stairs-098.clues,4,96626,317610,0.5439014434814453
stairs-099.clues,2,39206,1057827,0.920649528503418
stairs-099.clues,4,98602,324118,0.8243842124938965
