puzzle,approach,variables,clauses,encoding_time_s
random2-077.clues,4,375026,7415194,5.454341650009155
random2-078.clues,2,78444,5188004,3.127772569656372
random2-078.clues,4,445404,9926203,6.252557992935181
random2-079.clues,2,117548,8201941,5.621068239212036
random2-079.clues,4,331682,5219378,3.4384779930114746
random2-080.clues,2,107138,7389776,3.8505003452301025
random2-080.clues,4,297596,4503532,3.4381203651428223
random2-081.clues,2,117589,8800440,4.9798688888549805
random2-081.clues,4,683144,18742386,11.77765679359436
random2-082.clues,2,110146,8039106,6.339988470077515
random2-082.clues,4,537676,12003442,6.221600770950317
random2-083.clues,2,108599,7831925,4.053509473800659
random2-083.clues,4,420926,7646736,5.2576658725738525
random2-084.clues,2,141868,10651268,6.0009801387786865
random2-084.clues,4,424322,7261161,6.469485759735107
random2-085.clues,2,135593,10779864,6.285517692565918
random2-085.clues,4,924932,30524734,17.99817442893982
random2-086.clues,2,122810,9465321,5.478511333465576
random2-086.clues,4,636146,15546708,9.787609815597534
random2-087.clues,2,140843,10984534,7.482094049453735
random2-087.clues,4,571298,13503014,7.22872519493103
random2-088.clues,2,138898,10849671,7.4900288581848145
random2-088.clues,4,532133,11493151,6.742026329040527
random2-089.clues,2,114922,8593061,4.769720554351807
random2-089.clues,4,404912,7214752,4.493823289871216
random2-090.clues,2,95922,7203199,4.0791332721710205
random2-090.clues,4,631724,16274378,10.058333396911621
random2-091.clues,2,160679,13034387,8.382097721099854
random2-091.clues,4,550806,11012100,5.5564775466918945
random2-092.clues,2,155206,12805453,8.349627256393433
random2-092.clues,4,665231,15094557,10.379244565963745
random2-093.clues,2,158980,13392379,6.815809488296509
random2-093.clues,4,794114,20861246,12.875630617141724
random2-094.clues,2,135780,10746635,6.903160572052002
random2-094.clues,4,398622,6532918,5.425361156463623
random2-095.clues,2,218780,19044880,11.413303136825562
random2-095.clues,4,673538,14068966,9.627719163894653
random2-096.clues,2,193010,16548030,9.045016765594482
random2-096.clues,4,561244,9877471,7.319013595581055
random2-097.clues,2,232741,20823790,12.927051305770874
random2-097.clues,4,780376,19204412,12.634856224060059
random2-098.clues,2,285868,26610429,19.326656818389893
random2-098.clues,4,1146521,36044310,22.709465503692627
random2-099.clues,2,211703,18815238,12.20565938949585
random2-099.clues,4,627602,12713838,9.303906679153442
