puzzle,approach,variables,clauses,encoding_time_s
stripes-054.clues,2,74566,3818174,2.038079023361206
stripes-054.clues,4,219122,4198532,2.6259491443634033
stripes-055.clues,2,78698,4108372,2.3698155879974365
stripes-055.clues,4,231282,4506786,2.445939540863037
stripes-056.clues,2,82928,4411920,2.454633951187134
stripes-056.clues,4,243848,4831304,3.0556650161743164
stripes-057.clues,2,87374,4735843,2.1536426544189453
stripes-057.clues,4,256942,5179578,3.125232219696045
stripes-058.clues,2,91922,5074162,2.8579843044281006
stripes-058.clues,4,270458,5543194,2.877815008163452
stripes-059.clues,2,96574,5427069,2.9596340656280518
stripes-059.clues,4,284282,5916654,3.6796538829803467
stripes-060.clues,2,101270,5791031,2.672053813934326
stripes-060.clues,4,298231,6296209,4.209855079650879
stripes-061.clues,2,106314,6185639,2.9914560317993164
stripes-061.clues,4,313102,6712302,4.750828742980957
stripes-062.clues,2,111530,6600561,3.9766063690185547
stripes-062.clues,4,328484,7148945,4.824364185333252
stripes-063.clues,2,116856,7032393,3.6251471042633057
stripes-063.clues,4,344322,7606062,4.986520051956177
stripes-064.clues,2,122424,7489918,3.7038655281066895
stripes-064.clues,4,360752,8092960,6.142212390899658
stripes-065.clues,2,128106,7965527,4.184139728546143
stripes-065.clues,4,377654,8598972,5.645040273666382
stripes-066.clues,2,133904,8459434,4.212863445281982
stripes-066.clues,4,394900,9117220,5.626082181930542
stripes-067.clues,2,139751,8967225,5.074154853820801
stripes-067.clues,4,412286,9643116,6.356076717376709
stripes-068.clues,2,145986,9513126,5.582210540771484
stripes-068.clues,4,430700,10214272,6.632741451263428
stripes-069.clues,2,152412,10084188,5.1416826248168945
stripes-069.clues,4,449682,10810752,8.219038486480713
stripes-070.clues,2,158960,10676140,5.296306610107422
stripes-070.clues,4,469170,11432400,7.459429740905762
stripes-071.clues,2,165776,11299719,5.722802639007568
stripes-071.clues,4,489314,12090534,6.495176076889038
stripes-072.clues,2,172718,11945490,8.21492886543274
stripes-072.clues,4,509980,12771968,7.264751672744751
stripes-073.clues,2,179788,12613689,8.417021751403809
stripes-073.clues,4,531026,13468290,8.129472732543945
stripes-074.clues,2,186912,13298923,8.777849197387695
stripes-074.clues,4,552227,14173989,10.14397668838501
stripes-075.clues,2,194464,14030543,7.380420684814453
stripes-075.clues,4,574562,14934602,10.320960760116577
stripes-076.clues,2,202226,14792689,7.647428035736084
stripes-076.clues,4,597522,15725811,10.678991556167603
stripes-077.clues,2,210122,15580125,11.491766452789307
stripes-077.clues,4,621038,16547366,13.667455434799194
stripes-078.clues,2,218312,16405738,10.113169431686401
stripes-078.clues,4,645274,17412792,13.878585815429688
stripes-079.clues,2,226640,17258071,8.212735652923584
stripes-079.clues,4,670082,18306118,11.509326219558716
stripes-080.clues,2,235108,18137382,10.587677955627441
stripes-080.clues,4,695306,19217244,12.250894546508789
stripes-081.clues,2,243635,19037201,11.877732276916504
stripes-081.clues,4,720700,20139652,13.54820203781128
stripes-082.clues,2,252630,19992494,13.722856760025024
stripes-082.clues,4,747334,21127560,12.22235631942749
stripes-083.clues,2,261854,20984196,12.366355180740356
stripes-083.clues,4,774650,22151834,14.90727424621582
stripes-084.clues,2,271224,22006008,11.336060285568237
stripes-084.clues,4,802572,23212116,13.844578981399536
stripes-085.clues,2,280914,23073163,13.417194128036499
stripes-085.clues,4,831278,24324334,18.216407299041748
stripes-086.clues,2,290754,24171986,11.56945276260376
stripes-086.clues,4,860606,25469466,15.958728790283203
stripes-087.clues,2,300746,25302757,16.34931993484497
stripes-087.clues,4,890386,26635570,15.734924554824829
stripes-088.clues,2,310802,26457831,16.18505549430847
stripes-088.clues,4,920351,27815037,14.462625741958618
stripes-089.clues,2,321366,27678279,20.235374689102173
stripes-089.clues,4,951662,29071522,16.837769269943237
stripes-090.clues,2,332178,28941537,19.084867000579834
stripes-090.clues,4,983712,30370641,16.847196340560913
stripes-091.clues,2,343148,30240145,14.834274530410767
stripes-091.clues,4,1016418,31711914,22.872084379196167
stripes-092.clues,2,354464,31591878,15.407561540603638
stripes-092.clues,4,1049972,33113868,21.79802680015564
stripes-093.clues,2,365942,32980647,21.435516595840454
stripes-093.clues,4,1084198,34554164,18.671491146087646
stripes-094.clues,2,377584,34406754,19.766244411468506
stripes-094.clues,4,1118912,36018864,22.002057552337646
stripes-095.clues,2,389295,35861281,22.899001359939575
stripes-095.clues,4,1153826,37499184,20.325682163238525
stripes-096.clues,2,401554,37391894,21.913159132003784
stripes-096.clues,4,1190192,39068972,24.325535535812378
stripes-097.clues,2,414080,38972236,23.51879072189331
stripes-097.clues,4,1227354,40688160,22.10849142074585
stripes-098.clues,2,426776,40593588,25.229323387145996
stripes-098.clues,4,1265222,42356132,26.277254104614258
stripes-099.clues,2,439844,42276463,30.253955364227295
stripes-099.clues,4,1304002,44094210,24.88416838645935
